"YEAR","START_DATE","END_DATE","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES","AGE_BAND"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","0-16","speed_fines","Fixed camera",1,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","0-16","speed_fines","Police issued",2,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","17-25","speed_fines","Fixed camera",559,0,0,"Young"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","17-25","speed_fines","Mobile camera",143,0,0,"Young"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","17-25","speed_fines","Police issued",59,0,0,"Young"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","26-39","speed_fines","Fixed camera",1550,0,0,"Adult"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","26-39","speed_fines","Mobile camera",313,0,0,"Adult"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","26-39","speed_fines","Police issued",98,0,0,"Adult"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","40-64","speed_fines","Fixed camera",2722,0,0,"Mature"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","40-64","speed_fines","Mobile camera",476,0,0,"Mature"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","40-64","speed_fines","Police issued",47,0,0,"Mature"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","65 and over","speed_fines","Fixed camera",836,0,0,"Senior"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","65 and over","speed_fines","Mobile camera",148,0,0,"Senior"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","65 and over","speed_fines","Police issued",5,0,0,"Senior"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","unknown","speed_fines","Fixed camera",92,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","unknown","speed_fines","Mobile camera",12,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","NSW","Inner Regional Australia","0-16","speed_fines","Police issued",5,0,2,"Unknown"
2023,"2023-01-01","2023-01-31","NSW","Inner Regional Australia","17-25","speed_fines","Police issued",1508,0,16,"Young"
2023,"2023-01-01","2023-01-31","NSW","Inner Regional Australia","26-39","speed_fines","Police issued",2428,0,10,"Adult"
2023,"2023-01-01","2023-01-31","NSW","Inner Regional Australia","40-64","speed_fines","Police issued",2435,0,7,"Mature"
2023,"2023-01-01","2023-01-31","NSW","Inner Regional Australia","65 and over","speed_fines","Police issued",485,0,1,"Senior"
2023,"2023-01-01","2023-01-31","NSW","Major Cities of Australia","0-16","speed_fines","Police issued",4,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","NSW","Major Cities of Australia","17-25","speed_fines","Police issued",1655,0,34,"Young"
2023,"2023-01-01","2023-01-31","NSW","Major Cities of Australia","26-39","speed_fines","Police issued",1989,0,20,"Adult"
2023,"2023-01-01","2023-01-31","NSW","Major Cities of Australia","40-64","speed_fines","Police issued",1746,0,12,"Mature"
2023,"2023-01-01","2023-01-31","NSW","Major Cities of Australia","65 and over","speed_fines","Police issued",252,0,0,"Senior"
2023,"2023-01-01","2023-01-31","NSW","Outer Regional Australia","0-16","speed_fines","Police issued",1,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","NSW","Outer Regional Australia","17-25","speed_fines","Police issued",394,0,4,"Young"
2023,"2023-01-01","2023-01-31","NSW","Outer Regional Australia","26-39","speed_fines","Police issued",711,0,2,"Adult"
2023,"2023-01-01","2023-01-31","NSW","Outer Regional Australia","40-64","speed_fines","Police issued",794,0,3,"Mature"
2023,"2023-01-01","2023-01-31","NSW","Outer Regional Australia","65 and over","speed_fines","Police issued",221,0,0,"Senior"
2023,"2023-01-01","2023-01-31","NSW","Remote Australia","17-25","speed_fines","Police issued",27,0,0,"Young"
2023,"2023-01-01","2023-01-31","NSW","Remote Australia","26-39","speed_fines","Police issued",61,0,1,"Adult"
2023,"2023-01-01","2023-01-31","NSW","Remote Australia","40-64","speed_fines","Police issued",70,0,0,"Mature"
2023,"2023-01-01","2023-01-31","NSW","Remote Australia","65 and over","speed_fines","Police issued",21,0,0,"Senior"
2023,"2023-01-01","2023-01-31","NSW","Unknown","17-25","speed_fines","Police issued",2,0,0,"Young"
2023,"2023-01-01","2023-01-31","NSW","Unknown","26-39","speed_fines","Police issued",1,0,0,"Adult"
2023,"2023-01-01","2023-01-31","NSW","Unknown","40-64","speed_fines","Police issued",2,0,0,"Mature"
2023,"2023-01-01","2023-01-31","NSW","Unknown","65 and over","speed_fines","Police issued",1,0,0,"Senior"
