"ARRESTS","AGE_BAND"
0,"Unknown"
0,"Unknown"
0,"Young"
0,"Young"
0,"Young"
0,"Adult"
0,"Adult"
0,"Adult"
0,"Mature"
0,"Mature"
0,"Mature"
0,"Senior"
0,"Senior"
0,"Senior"
0,"Unknown"
0,"Unknown"
0,"Unknown"
0,"Young"
0,"Adult"
0,"Mature"
0,"Senior"
0,"Unknown"
0,"Young"
0,"Adult"
0,"Mature"
0,"Senior"
0,"Unknown"
0,"Young"
0,"Adult"
0,"Mature"
0,"Senior"
0,"Young"
0,"Adult"
0,"Mature"
0,"Senior"
0,"Young"
0,"Adult"
0,"Mature"
0,"Senior"
0,"Unknown"
0,"Unknown"
0,"Unknown"
0,"Adult"
0,"Mature"
0,"Unknown"
0,"Unknown"
0,"Young"
5,"Young"
0,"Young"
0,"Adult"
1,"Adult"
0,"Adult"
0,"Mature"
0,"Mature"
0,"Mature"
0,"Senior"
1,"Senior"
0,"Senior"
0,"Unknown"
0,"Unknown"
0,"Unknown"
0,"Unknown"
0,"Unknown"
2,"Unknown"
0,"Young"
0,"Young"
0,"Young"
6,"Young"
0,"Adult"
0,"Adult"
0,"Adult"
9,"Adult"
0,"Mature"
0,"Mature"
0,"Mature"
4,"Mature"
0,"Senior"
0,"Senior"
0,"Senior"
1,"Senior"
0,"Unknown"
0,"Unknown"
0,"Unknown"
0,"Unknown"
0,"Young"
0,"Young"
0,"Adult"
0,"Adult"
0,"Mature"
0,"Mature"
0,"Senior"
0,"Senior"
0,"Unknown"
0,"Unknown"
0,"Young"
0,"Young"
0,"Young"
0,"Adult"
0,"Adult"
0,"Adult"
0,"Mature"
0,"Mature"
0,"Mature"
0,"Senior"
0,"Senior"
0,"Senior"
0,"Unknown"
0,"Unknown"
0,"Young"
0,"Young"
0,"Young"
0,"Adult"
0,"Adult"
0,"Adult"
0,"Mature"
0,"Mature"
0,"Mature"
0,"Senior"
0,"Senior"
0,"Senior"
0,"Unknown"
0,"Unknown"
0,"Young"
0,"Young"
0,"Young"
0,"Adult"
0,"Adult"
0,"Adult"
0,"Mature"
0,"Mature"
0,"Mature"
0,"Senior"
0,"Senior"
0,"Senior"
0,"Unknown"
0,"Unknown"
0,"Young"
0,"Young"
0,"Adult"
0,"Adult"
0,"Mature"
0,"Mature"
0,"Senior"
0,"Young"
0,"Young"
0,"Young"
0,"Adult"
0,"Adult"
0,"Adult"
0,"Mature"
0,"Mature"
0,"Mature"
0,"Senior"
0,"Senior"
0,"Senior"
0,"Unknown"
0,"Unknown"
0,"Unknown"
0,"Unknown"
0,"Young"
0,"Young"
0,"Young"
0,"Young"
0,"Young"
0,"Young"
0,"Adult"
0,"Adult"
0,"Adult"
0,"Adult"
0,"Adult"
0,"Adult"
