"JURISDICTION","START_DATE","Sum(FINES)"
"ACT","2023-01-01",7063
"ACT","2023-02-01",6236
"ACT","2023-03-01",6508
"ACT","2023-04-01",6409
"ACT","2023-05-01",5886
"ACT","2023-06-01",5415
"ACT","2023-07-01",5603
"ACT","2023-08-01",5148
"ACT","2023-09-01",5756
"ACT","2023-10-01",5201
"ACT","2023-11-01",5224
"ACT","2023-12-01",6002
"NSW","2023-01-01",62902
"NSW","2023-02-01",64923
"NSW","2023-03-01",81114
"NSW","2023-04-01",65010
"NSW","2023-05-01",73699
"NSW","2023-06-01",72058
"NSW","2023-07-01",67492
"NSW","2023-08-01",76916
"NSW","2023-09-01",76097
"NSW","2023-10-01",75351
"NSW","2023-11-01",80745
"NSW","2023-12-01",84194
"NT","2023-01-01",2925
"NT","2023-02-01",2884
"NT","2023-03-01",2913
"NT","2023-04-01",3050
"NT","2023-05-01",4054
"NT","2023-06-01",3759
"NT","2023-07-01",4113
"NT","2023-08-01",3748
"NT","2023-09-01",3836
"NT","2023-10-01",3271
"NT","2023-11-01",2731
"NT","2023-12-01",5637
"QLD","2023-01-01",860626
"SA","2023-01-01",18066
"SA","2023-02-01",17134
"SA","2023-03-01",19438
"SA","2023-04-01",15307
"SA","2023-05-01",17179
"SA","2023-06-01",17271
"SA","2023-07-01",16222
"SA","2023-08-01",17644
"SA","2023-09-01",16134
"SA","2023-10-01",16765
"SA","2023-11-01",17870
"SA","2023-12-01",13692
"TAS","2023-01-01",6933
"TAS","2023-02-01",4735
"TAS","2023-03-01",4372
"TAS","2023-04-01",4520
"TAS","2023-05-01",5498
"TAS","2023-06-01",5171
"TAS","2023-07-01",5532
"TAS","2023-08-01",5357
"TAS","2023-09-01",4437
"TAS","2023-10-01",5696
"TAS","2023-11-01",6593
"TAS","2023-12-01",5193
"VIC","2023-01-01",119221
"VIC","2023-02-01",98919
"VIC","2023-03-01",109057
"VIC","2023-04-01",101399
"VIC","2023-05-01",101085
"VIC","2023-06-01",101822
"VIC","2023-07-01",104554
"VIC","2023-08-01",106305
"VIC","2023-09-01",104375
"VIC","2023-10-01",108280
"VIC","2023-11-01",118587
"VIC","2023-12-01",122677
"WA","2023-01-01",64178
"WA","2023-02-01",70676
"WA","2023-03-01",65964
"WA","2023-04-01",67141
"WA","2023-05-01",60638
"WA","2023-06-01",51924
"WA","2023-07-01",69852
"WA","2023-08-01",74493
"WA","2023-09-01",70450
"WA","2023-10-01",76187
"WA","2023-11-01",64989
"WA","2023-12-01",68829
