"DETECTION_METHOD","FINES"
"Fixed camera",1
"Police issued",2
"Fixed camera",559
"Mobile camera",143
"Police issued",59
"Fixed camera",1550
"Mobile camera",313
"Police issued",98
"Fixed camera",2722
"Mobile camera",476
"Police issued",47
"Fixed camera",836
"Mobile camera",148
"Police issued",5
"Fixed camera",92
"Mobile camera",12
"Police issued",5
"Police issued",1508
"Police issued",2428
"Police issued",2435
"Police issued",485
"Police issued",4
"Police issued",1655
"Police issued",1989
"Police issued",1746
"Police issued",252
"Police issued",1
"Police issued",394
"Police issued",711
"Police issued",794
"Police issued",221
"Police issued",27
"Police issued",61
"Police issued",70
"Police issued",21
"Police issued",2
"Police issued",1
"Police issued",2
"Police issued",1
"Fixed camera",27788
"Mobile camera",1413
"Red light camera",18873
"Police issued",10
"Police issued",5
"Mobile camera",4
"Police issued",2
"Mobile camera",307
"Police issued",98
"Red light camera",55
"Mobile camera",649
"Police issued",141
"Red light camera",207
"Mobile camera",710
"Police issued",126
"Red light camera",301
"Mobile camera",159
"Police issued",20
"Red light camera",70
"Mobile camera",56
"Red light camera",20
"Fixed camera",0
"Mobile camera",0
"Other",0
"Police issued",0
"Fixed camera",483
"Mobile camera",885
"Other",0
"Police issued",710
"Fixed camera",1229
"Mobile camera",2462
"Other",0
"Police issued",1230
"Fixed camera",2426
"Mobile camera",4161
"Other",0
"Police issued",1428
"Fixed camera",996
"Mobile camera",1310
"Other",0
"Police issued",355
"Fixed camera",184
"Mobile camera",204
"Other",0
"Police issued",3
"Fixed or mobile camera",577
"Police issued",447
"Fixed or mobile camera",1568
"Police issued",736
"Fixed or mobile camera",1903
"Police issued",834
"Fixed or mobile camera",623
"Police issued",239
"Fixed or mobile camera",5
"Police issued",1
"Fixed camera",180
"Mobile camera",2125
"Police issued",820
"Fixed camera",708
"Mobile camera",10144
"Police issued",1524
"Fixed camera",1015
"Mobile camera",16192
"Police issued",1943
"Fixed camera",303
"Mobile camera",5052
"Police issued",437
"Fixed camera",725
"Mobile camera",7544
"Fixed camera",2784
"Mobile camera",466
"Police issued",1050
"Fixed camera",11589
"Mobile camera",1827
"Police issued",1863
"Fixed camera",19952
"Mobile camera",3350
"Police issued",1966
"Fixed camera",5764
"Mobile camera",1434
"Police issued",381
"Fixed camera",11839
"Mobile camera",1600
"Fixed camera",1
"Mobile camera",74
"Police issued",200
"Fixed camera",10
"Mobile camera",306
"Police issued",379
"Fixed camera",17
"Mobile camera",596
"Police issued",450
"Fixed camera",6
"Mobile camera",283
"Police issued",97
"Fixed camera",11
"Mobile camera",327
"Mobile camera",1
"Police issued",6
"Mobile camera",1
"Police issued",16
"Mobile camera",2
"Police issued",38
"Police issued",8
"Fixed camera",63
"Mobile camera",68
"Police issued",9
"Fixed camera",218
"Mobile camera",252
"Police issued",23
"Fixed camera",288
"Mobile camera",364
"Police issued",18
"Fixed camera",62
"Mobile camera",117
"Police issued",1
"Fixed camera",205
"Mobile camera",126
"Police issued",1
"Mobile camera",1
"Average speed camera",229
"Fixed camera",1325
"Mobile camera",3685
"Police issued",916
"Red light camera",893
"Unknown",0
"Average speed camera",471
"Fixed camera",4272
"Mobile camera",9352
"Police issued",1913
"Red light camera",3494
"Unknown",0
"Average speed camera",546
"Fixed camera",6412
"Mobile camera",13530
"Police issued",2201
"Red light camera",7450
"Unknown",0
"Average speed camera",85
"Fixed camera",1618
"Mobile camera",3317
"Police issued",401
"Red light camera",2027
"Unknown",0
"Fixed camera",11
"Mobile camera",17
"Red light camera",12
"Average speed camera",9790
"Fixed camera",263939
"Mobile camera",469785
"Police issued",117112
"Police issued",1
"Fixed camera",508
"Mobile camera",220
"Police issued",27
